BIAS TYPE,Category,Geometry,Incident Date,Number of Records,OFFENSE GROUP,OFFENSE CATEGORY,Reported Offense,Neighborho,Precinct
Political Views Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/17/2018,1,Society,Property Damage,PROPERTY DAMAGE-RESIDENTIAL,UNIVERSITY,N
Political Views Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/10/2018,1,Person,Assault,ASSLT-AGG-WEAPON,UNIVERSITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/1/2018,1,Society,Bias Incident,BIAS INCIDENT,BALLARD SOUTH,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/26/2018,1,Society,Threats,THREATS-OTHER,BALLARD SOUTH,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/9/2018,1,Society,Threats,THREATS-OTHER,BALLARD SOUTH,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/8/2018,1,Society,Harassment,MALICIOUS HARASSMENT,FREMONT,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/25/2018,1,Society,Threats,THREATS-KILL,FREMONT,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/12/2018,1,Person,Assault,ASSLT-AGG-WEAPON,GREENWOOD,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/24/2018,1,Society,Harassment,MALICIOUS HARASSMENT,GREENWOOD,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/25/2018,1,Society,Threats,THREATS-BOMB,GREENWOOD,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/24/2018,1,Society,Bias Incident,BIAS INCIDENT,BALLARD NORTH,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/23/2018,1,Person,Robbery,ROBBERY-STREET-WEAPON,PHINNEY RIDGE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/4/2018,1,Person,Assault,ASSLT-AGG-WEAPON,ROOSEVELT/RAVENNA,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/25/2018,1,Person,Robbery,ROBBERY-STREET-WEAPON,ROOSEVELT/RAVENNA,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/7/2018,1,Property,Theft,THEFT-BICYCLE,LAKECITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/8/2018,1,Property,Theft,VEH-THEFT-AUTO,LAKECITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/8/2018,1,Society,Threats,THREATS-KILL,NORTHGATE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/4/2018,1,Person,Assault,ASSLT-AGG-WEAPON,LAKECITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/30/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,LAKECITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/8/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,LAKECITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/19/2018,1,Person,Assault,ASSLT-AGG-DV-WEAPON,BITTERLAKE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/23/2018,1,Person,Assault,ASSLT-AGG-WEAPON,BITTERLAKE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/16/2018,1,Person,Assault,ASSLT-NONAGG,BITTERLAKE,N
