2012,2013,2014,2015,2018,BEAT,BIAS TYPE,Bias Category (Sheet1),Bias,2017,Placeholder,Incomplete Qtr,Conditional Formatting,2016,Row Total,"""""",Category,Definition,GO Number,Geometry,Incident Date,Mcpp,New Offense Label?,Number of Records,OFFENSE GROUP,PRECINCT,OFFENSE GROUP.,OFFENSE CATEGORY,Reported Offense,Sheet,Specific Bias Type,Table Name,Neighborho,Precinct,St Area Sh,St Length
0,0,0,0,1,U2,Homeless Only,,Homeless,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-43602,POLYGON,2/5/2018,UNIVERSITY,N,1,Property,NORTH,Property,Arson,ARSON-OTHER,2018,Homeless,2018,UNIVERSITY,N,53849611.47,34115.55986
0,0,0,0,1,B1,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-71844,POLYGON,2/27/2018,BALLARD SOUTH,N,1,Person,NORTH,Person,Assault,ASSLT-AGG-WEAPON,2018,Gay,2018,BALLARD SOUTH,N,58863907.01,38678.59026
0,0,0,0,1,B1,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-22706,POLYGON,1/19/2018,BALLARD SOUTH,N,1,Person,NORTH,Person,Assault,ASSLT-AGG-WEAPON,2018,Gay/Lesbian,2018,BALLARD SOUTH,N,58863907.01,38678.59026
0,0,0,0,1,B1,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-76793,POLYGON,3/2/2018,BALLARD SOUTH,N,1,Person,NORTH,Person,Assault,ASSLT-AGG-WEAPON,2018,Gay/Lesbian,2018,BALLARD SOUTH,N,58863907.01,38678.59026
0,0,0,0,1,B1,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-446485,POLYGON,11/30/2018,BALLARD SOUTH,N,1,Person,NORTH,Person,Assault,ASSLT-NONAGG,2018,Gay/Lesbian,2018,BALLARD SOUTH,N,58863907.01,38678.59026
0,0,0,0,1,J1,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-361031,POLYGON,9/27/2018,GREENWOOD,N,1,Person,NORTH,Person,Assault,ASSLT-NONAGG,2018,Gay/Lesbian,2018,GREENWOOD,N,42008629.33,26493.33227
0,0,0,0,1,J1,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-72198,POLYGON,2/27/2018,GREENWOOD,N,1,Society,NORTH,Society,Threats,THREATS-OTHER,2018,Gay,2018,GREENWOOD,N,42008629.33,26493.33227
0,0,0,0,1,L2,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-6875,POLYGON,1/6/2018,NORTHGATE,N,1,Society,NORTH,Society,Harassment,MALICIOUS HARASSMENT,2018,Gay/Lesbian,2018,NORTHGATE,N,132689323.6,51398.03811
0,0,0,0,1,N1,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-451843,POLYGON,12/4/2018,BITTERLAKE,N,1,Society,NORTH,Society,Threats,THREATS-OTHER,2018,Gay/Lesbian,2018,BITTERLAKE,N,92314813.72,43678.57557
0,0,0,0,1,N3,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-239856,POLYGON,6/30/2018,NORTHGATE,N,1,Person,NORTH,Person,Assault,ASSLT-AGG-DV-BODYFORCE,2018,Gay,2018,NORTHGATE,N,132689323.6,51398.03811
